id,title,authors,citation_issue,pdf_filename,published_at,slug,type,url
431,"Review of *Marking Feminist Times: Remembering the Longest Revolution in Australia*, by Margaret Henderson",Joy Damousi,23.3,review-by-joy-damousi-23-3.pdf,2008-10-01,review-by-joy-damousi,review,https://www.australianliterarystudies.com.au/articles/review-by-joy-damousi
432,Annual Bibliography of Studies in Australian Literature: 2007,"Carol Hetherington, Irmtraud Petersson",23.3,annual-bibliography-of-studies-23-3.pdf,2008-10-01,annual-bibliography-of-studies-in-australian-literature-2007,essay,https://www.australianliterarystudies.com.au/articles/annual-bibliography-of-studies-in-australian-literature-2007
433,Australian Letters and Postwar Modernity,Susan Sheridan,23.3,australian-letters-and-postwar-susan-sheridan-23-3.pdf,2008-10-01,australian-letters-and-postwar-modernity,essay,https://www.australianliterarystudies.com.au/articles/australian-letters-and-postwar-modernity
434,The Eco-Humanities as Literature: A New Genre?,Libby Robin,23.3,the-eco-humanities-as-literature-libby-robin-23-3.pdf,2008-10-01,the-eco-humanities-as-literature-a-new-genre,essay,https://www.australianliterarystudies.com.au/articles/the-eco-humanities-as-literature-a-new-genre
435,"Review of *Creme tie Ia Phlegm: Unforgettable Australian Reviews*, edited by Angela Bennie",Anthea Taylor,23.3,review-by-anthea-taylor-23-3.pdf,2008-10-01,review-by-anthea-taylor,review,https://www.australianliterarystudies.com.au/articles/review-by-anthea-taylor
436,"Review of *Thea Astley's Fictional Worlds*, edited by Susan Sheridan and Paul Genoni",Lyn Jacobs,23.3,review-by-lyn-jacobs-23-3.pdf,2008-10-01,review-by-lyn-jacobs,review,https://www.australianliterarystudies.com.au/articles/review-by-lyn-jacobs
437,"Review of *Flashing Eyes and Floating Hair: A Reading of Gwen Harwood's Pseudonymous Poetry*, by Cassandra L. Atherton",Alison Wood,23.3,review-by-alison-wood-23-3.pdf,2008-10-01,review-by-alison-wood,review,https://www.australianliterarystudies.com.au/articles/review-by-alison-wood
438,Of Sages and Sybils : Alec Hope and Judith Wright,Anne Collett,24.1,of-sages-and-sybils-anne-collett-24-1.pdf,2009-05-01,of-sages-and-sybils-alec-hope-and-judith-wright,essay,https://www.australianliterarystudies.com.au/articles/of-sages-and-sybils-alec-hope-and-judith-wright
439,Jolley’s Women,Bronwen Levy,24.1,jolleys-women-bronwen-levy-24-1.pdf,2009-05-01,jolleys-women,essay,https://www.australianliterarystudies.com.au/articles/jolleys-women
440,Elizabeth Jolley’s Late Work,Delys Bird,24.1,elizabeth-jolleys-late-work-delys-bird-24-1.pdf,2009-05-01,elizabeth-jolleys-late-work,essay,https://www.australianliterarystudies.com.au/articles/elizabeth-jolleys-late-work
441,Review of *Making Books: Contemporary Australian Publishing.* Edited by David Carter and Anne Galligan.,Terri-Ann White,24.1,review-by-terri-ann-white-24-1.pdf,2009-05-01,review-by-terri-ann-white,review,https://www.australianliterarystudies.com.au/articles/review-by-terri-ann-white
442,"Review of *Speaking Our Language: The Story of Australian English*, by Bruce Moore",Pam Peters,24.1,review-by-pam-peters-24-1.pdf,2009-05-01,review-by-pam-peters,review,https://www.australianliterarystudies.com.au/articles/review-by-pam-peters
443,"Review 0f *Make It Australian: The Australian Performing Group, the Pram Factory and New Wave Theatre*, by Gabrielle Wolf.",Peta Tait,24.1,review-by-peta-tait-24-1.pdf,2009-05-01,review-by-peta-tait,review,https://www.australianliterarystudies.com.au/articles/review-by-peta-tait
444,"Review of *Stressing tile Modern: Cultural Politics in Australian Women's Poetry*, by Ann Vickery.",Susan Sheridan,24.1,review-by-susan-sheridan-24-1.pdf,2009-05-01,review-by-susan-sheridan,review,https://www.australianliterarystudies.com.au/articles/review-by-susan-sheridan
445,Salt Scars : John Kinsella’s Wheatbelt,Tony Hughes-d'Aeth,27.2,salt-scars-john-tony-hughes-daeth-27-2.pdf,2012-06-01,salt-scars-john-kinsellas-wheatbelt,essay,https://www.australianliterarystudies.com.au/articles/salt-scars-john-kinsellas-wheatbelt
446,Bodies that Speak : Mediating Female Embodiment in Tim Winton’s Fiction,Hannah Schuerholz,27.2,bodies-that-speak-hannah-schuerholz-27-2.pdf,2012-06-01,bodies-that-speak-mediating-female-embodiment-in-tim-wintons-fiction,essay,https://www.australianliterarystudies.com.au/articles/bodies-that-speak-mediating-female-embodiment-in-tim-wintons-fiction
447,Australian Gothic : Theatre and the Northern Turn,Stephen Carleton,27.2,australian-gothic-theatre-stephen-carleton-27-2.pdf,2012-06-01,australian-gothic-theatre-and-the-northern-turn,essay,https://www.australianliterarystudies.com.au/articles/australian-gothic-theatre-and-the-northern-turn
448,On the Genealogy of Democracy : Reading Peter Carey’s Parrot and Olivier in America,Peter Mathews,27.2,on-the-genealogy-of-peter-mathews-27-2.pdf,2012-06-01,on-the-genealogy-of-democracy-reading-peter-careys-parrot-and-olivier-in-america,essay,https://www.australianliterarystudies.com.au/articles/on-the-genealogy-of-democracy-reading-peter-careys-parrot-and-olivier-in-america
449,Alien Intoxications : The Aggressions of a Brisbane Opium Smoker,David Crouch,27.2,alien-intoxications-the-david-crouch-27-2.pdf,2012-06-01,alien-intoxications-the-aggressions-of-a-brisbane-opium-smoker,essay,https://www.australianliterarystudies.com.au/articles/alien-intoxications-the-aggressions-of-a-brisbane-opium-smoker
450,"Review of The Empire Actors: Stars of Australasian Costume Drama 1890s-1920s, by Veronica Kelly",Melissa Bellanta,27.2,review-by-melissa-bellanta-27-2.pdf,2012-06-01,review-by-melissa-bellanta,review,https://www.australianliterarystudies.com.au/articles/review-by-melissa-bellanta
451,"Review of The Censor's Library: Uncovering the Lost History of Australia's Banned Books, by Nicole Moore",Maryanne Dever,27.2,review-by-maryanne-dever-27-2.pdf,2012-06-01,review-by-maryanne-dever12,review,https://www.australianliterarystudies.com.au/articles/review-by-maryanne-dever12
452,Is Australia (still) Postcolonial (yet)?: Review of Postcolonial Issues in Australian Literature.,Victoria Kuttainen,27.2,review-by-victoria-kuttainen-27-2.pdf,2012-06-01,is-australia-still-postcolonial-yet,review,https://www.australianliterarystudies.com.au/articles/is-australia-still-postcolonial-yet
453,"Review of The Sons of Clovis: Ern Malley, Adore Floupette and a Secret History of Australian Poetry, by David Brooks",Maggie Nolan,27.2,review-by-maggie-nolan-27-2.pdf,2012-06-01,review-by-maggie-nolan,review,https://www.australianliterarystudies.com.au/articles/review-by-maggie-nolan
454,"Patrick White, Saul Bellow and the Problem of Literary Value",Simon During,27.2,patrick-white-saul-bellow-simon-during-27-2.pdf,2012-06-01,patrick-white-saul-bellow-and-the-problem-of-literary-value,essay,https://www.australianliterarystudies.com.au/articles/patrick-white-saul-bellow-and-the-problem-of-literary-value
455,"Adapting Australian Novels for the Stage : La Boite Theatre’s Version of Last Drinks, Perfect Skin, and Johnno",Joanne Tompkins,23.3,adapting-australian-novels-for-joanne-tompkins-23-3.pdf,2008-10-01,adapting-australian-novels-for-the-stage-la-boite-theatres-version-of-last-drinks-perfect-skin-and-johnno,essay,https://www.australianliterarystudies.com.au/articles/adapting-australian-novels-for-the-stage-la-boite-theatres-version-of-last-drinks-perfect-skin-and-johnno
456,Letter to the Editor,J. S. D. Mellick,23.3,letter-to-the-editor-j-s-d-mellick-23-3.pdf,2008-10-01,letter-to-the-editor,essay,https://www.australianliterarystudies.com.au/articles/letter-to-the-editor
457,Beyond Capricornia : Ambiguous Promise in Alexis Wright,Paul Sharrad,24.1,beyond-capricornia-ambiguous-paul-sharrad-24-1.pdf,2009-05-01,beyond-capricornia-ambiguous-promise-in-alexis-wright,essay,https://www.australianliterarystudies.com.au/articles/beyond-capricornia-ambiguous-promise-in-alexis-wright
458,Review by Vivian Smith,Vivian Smith,23.3,review-by-vivian-smith-23-3.pdf,2008-10-01,review-by-vivian-smith1,review,https://www.australianliterarystudies.com.au/articles/review-by-vivian-smith1
459,"Anachronism, Ekphrasis and the ‘Shape of Time’ in The Great Fire",Brigitta Olubas,23.3,anachronism-ekphrasis-and-the-brigitta-olubas-23-3.pdf,2008-10-01,anachronism-ekphrasis-and-the-shape-of-time-in-the-great-fire,essay,https://www.australianliterarystudies.com.au/articles/anachronism-ekphrasis-and-the-shape-of-time-in-the-great-fire
460,Singing up Country in the Poetry of Judith Wright and Pablo Neruda,Stuart Cooke,23.4,singing-up-country-in-stuart-cooke-23-4.pdf,2008-11-01,singing-up-country-in-the-poetry-of-judith-wright-and-pablo-neruda,essay,https://www.australianliterarystudies.com.au/articles/singing-up-country-in-the-poetry-of-judith-wright-and-pablo-neruda
461,Translating for the Australian Stage (A Personal Viewpoint),Louis Nowra,10.3,translating-for-the-australian-louis-nowra-10-3.pdf,1982-05-01,translating-for-the-australian-stage-a-personal-viewpoint,essay,https://www.australianliterarystudies.com.au/articles/translating-for-the-australian-stage-a-personal-viewpoint
462,Getting a Head : Dismembering and Remembering in Robert Drewe’s The Savage Crows,Susan K. Martin,21.1,getting-a-head-susan-k-martin-21-1.pdf,2003-05-01,getting-a-head-dismembering-and-remembering-in-robert-drewes-the-savage-crows,essay,https://www.australianliterarystudies.com.au/articles/getting-a-head-dismembering-and-remembering-in-robert-drewes-the-savage-crows
463,"Review of *Christina Stead: Satirist*, by Anne Pender, and *The Enigmatic Christina Stead: A Provocative Re-Reading*, by Teresa Petersen.",Diana Brydon,21.1,review-by-diana-brydon-21-1.pdf,2003-05-01,review-by-diana-brydon,review,https://www.australianliterarystudies.com.au/articles/review-by-diana-brydon
464,Annual Bibliography of Studies in Australian Literature : 2002,"Carol Hetherington, Irmtraud Petersson",21.1,annual-bibliography-of-studies-21-1.pdf,2003-05-01,annual-bibliography-of-studies-in-australian-literature-2002,essay,https://www.australianliterarystudies.com.au/articles/annual-bibliography-of-studies-in-australian-literature-2002
465,"Review of *Les Murray*, by Steven Matthews, and attuned to *Alien Moonlight: The Poetry of Bruce Dawe*, by Dennis Haskell.",Jeffrey Poacher,21.1,review-by-jeffrey-poacher-21-1.pdf,2003-05-01,review-by-jeffrey-poacher,review,https://www.australianliterarystudies.com.au/articles/review-by-jeffrey-poacher
466,"Review of *Australian Short Fiction: A History*, by Bruce Bennett.",Carmel Bird,21.1,review-by-carmel-bird-21-1.pdf,2003-05-01,review-by-carmel-bird,review,https://www.australianliterarystudies.com.au/articles/review-by-carmel-bird
467,"Review of *A History of the Book in Australia 1891- 1945: A National Culture in a Colonised Market*, edited by Martyn Lyons and John Arnold.",Ross Harvey,21.1,review-by-ross-harvey-21-1.pdf,2003-05-01,review-by-ross-harvey,review,https://www.australianliterarystudies.com.au/articles/review-by-ross-harvey
468,Wishing for Modernity : Temporality and Desire in Gould’s Book of Fish,Jesse Shipway,21.1,wishing-for-modernity-jesse-shipway-21-1.pdf,2003-05-01,wishing-for-modernity-temporality-and-desire-in-goulds-book-of-fish,essay,https://www.australianliterarystudies.com.au/articles/wishing-for-modernity-temporality-and-desire-in-goulds-book-of-fish
469,"Shrouded Histories : Outlaw and Lawmaker, Republican Politics and Women’s Interests",Kay Ferres,21.1,shrouded-histories-outlaw-kay-ferres-21-1.pdf,2003-05-01,shrouded-histories-outlaw-and-lawmaker-republican-politics-and-womens-interests,essay,https://www.australianliterarystudies.com.au/articles/shrouded-histories-outlaw-and-lawmaker-republican-politics-and-womens-interests
470,Arthur and Emily: A Note on a World War I Novel,James Wieland,14.3,arthur-and-emily-a-james-wieland-14-3.pdf,1990-05-01,arthur-and-emily-a-note-on-a-world-war-i-novel,essay,https://www.australianliterarystudies.com.au/articles/arthur-and-emily-a-note-on-a-world-war-i-novel
471,"Review of *The Intimate Empire: Reading Women's Autobiography*, by Gillian Whitlock.",Delys Bird,19.4,review-by-delys-bird-19-4.pdf,2000-10-01,review-by-delys-bird,review,https://www.australianliterarystudies.com.au/articles/review-by-delys-bird
472,"A Bellyful of Bali : Travel, Writing and Australia/Asia Relationships",Robin Gerster,17.4,a-bellyful-of-bali-robin-gerster-17-4.pdf,1996-10-01,a-bellyful-of-bali-travel-writing-and-australiaasia-relationships,essay,https://www.australianliterarystudies.com.au/articles/a-bellyful-of-bali-travel-writing-and-australiaasia-relationships
473,My Brilliant Career and 1890s Goulburn,Jill Roe,20.4,my-brilliant-career-and-jill-roe-20-4.pdf,2002-10-01,my-brilliant-career-and-1890s-goulburn,essay,https://www.australianliterarystudies.com.au/articles/my-brilliant-career-and-1890s-goulburn
474,"Review of *Henry Handel Richardson: A Life*, by Michael Ackland",Susan Magarey,22.4,review-by-susan-magarey-22-4.pdf,2006-10-01,review-by-susan-magarey,review,https://www.australianliterarystudies.com.au/articles/review-by-susan-magarey
475,Challenging Voices : Tracing the Problematic Role of Testimony in Political Change,Heather Goodall,22.4,challenging-voices-tracing-heather-goodall-22-4.pdf,2006-10-01,challenging-voices-tracing-the-problematic-role-of-testimony-in-political-change,essay,https://www.australianliterarystudies.com.au/articles/challenging-voices-tracing-the-problematic-role-of-testimony-in-political-change
476,Reading Kate Llewellyn’s Garden(Books),Anne Collett,22.4,reading-kate-llewellyns-gardenbooks-anne-collett-22-4.pdf,2006-10-01,reading-kate-llewellyns-gardenbooks,essay,https://www.australianliterarystudies.com.au/articles/reading-kate-llewellyns-gardenbooks
477,How Newness (Not) Comes into the World : Eva Rask Knudsen’s The Circle and the Spiral,Simone Drichel,22.4,how-newness-not-comes-simone-drichel-22-4.pdf,2006-10-01,how-newness-not-comes-into-the-world-eva-rask-knudsens-the-circle-and-the-spiral,essay,https://www.australianliterarystudies.com.au/articles/how-newness-not-comes-into-the-world-eva-rask-knudsens-the-circle-and-the-spiral
478,‘This Isn’t a Novel. It is a Life!’ : Dymphna Cusask and Caddie : A Sydney Barmaid,Diane E. Kirkby,22.4,this-isnt-a-novel-diane-e-kirkby-22-4.pdf,2006-10-01,this-isnt-a-novel-it-is-a-life-dymphna-cusask-and-caddie-a-sydney-barmaid,essay,https://www.australianliterarystudies.com.au/articles/this-isnt-a-novel-it-is-a-life-dymphna-cusask-and-caddie-a-sydney-barmaid
479,"Review of *Victor J. Daley (A Life)*, by Frank Molloy",Rebecca Pelan,22.4,review-by-rebecca-pelan-22-4.pdf,2006-10-01,review-by-rebecca-pelan,review,https://www.australianliterarystudies.com.au/articles/review-by-rebecca-pelan
480,"Review of *Cross-Cultural Analysis of the Writings of Thomas King and Colin Johnson (Mudrooroo)*, by Clare Archer-Lean.",Maureen Clark,22.4,review-by-maureen-clark-22-4.pdf,2006-10-01,review-by-maureen-clark,review,https://www.australianliterarystudies.com.au/articles/review-by-maureen-clark
481,‘What Would Civilisation Be without a Gun?’ The Resistant Land in Sarah Campion’s Burdekin Trilogy,Cheryl M. Taylor,22.4,what-would-civilisation-be-cheryl-m-taylor-22-4.pdf,2006-10-01,what-would-civilisation-be-without-a-gun-the-resistant-land-in-sarah-campions-burdekin-trilogy,essay,https://www.australianliterarystudies.com.au/articles/what-would-civilisation-be-without-a-gun-the-resistant-land-in-sarah-campions-burdekin-trilogy
482,"Review of *Not Wrong - Just Different: Observations on the Rise of Contemporary Australian Theatre*, by Katharine Brisbane",Geoffrey Milne,22.4,review-by-geoffrey-milne-22-4.pdf,2006-10-01,review-by-geoffrey-milne,review,https://www.australianliterarystudies.com.au/articles/review-by-geoffrey-milne
483,Review by Shirley Walker,Shirley Walker,11.2,review-by-shirley-walker-11-2.pdf,1983-10-01,review-by-shirley-walker,review,https://www.australianliterarystudies.com.au/articles/review-by-shirley-walker
484,Review by Dennis Robinson,Dennis Robinson,11.2,review-by-dennis-robinson-11-2.pdf,1983-10-01,review-by-dennis-robinson,review,https://www.australianliterarystudies.com.au/articles/review-by-dennis-robinson
485,Mansfield and Richardson : A Short Story Dialectic,Carol Franklin,11.2,mansfield-and-richardson-carol-franklin-11-2.pdf,1983-10-01,mansfield-and-richardson-a-short-story-dialectic,essay,https://www.australianliterarystudies.com.au/articles/mansfield-and-richardson-a-short-story-dialectic
486,Orion Horne and the Bushranger Daniel Morgan,Robin Berwick Walker,11.2,orion-horne-and-the-robin-berwick-walker-11-2.pdf,1983-10-01,orion-horne-and-the-bushranger-daniel-morgan,essay,https://www.australianliterarystudies.com.au/articles/orion-horne-and-the-bushranger-daniel-morgan
487,Walter Stone,Laurie Hergenhan,10.3,walter-stone-laurie-hergenhan-10-3.pdf,1982-05-01,walter-stone,essay,https://www.australianliterarystudies.com.au/articles/walter-stone
488,Review by Veronica Kelly,Veronica Kelly,17.4,review-by-veronica-kelly-17-4.pdf,1996-10-01,review-by-veronica-kelly,review,https://www.australianliterarystudies.com.au/articles/review-by-veronica-kelly
489,"Review of Studies in Classic Australian Fiction, by Michael Wilding",Laurie Hergenhan,18.2,review-by-laurie-hergenhan-18-2.pdf,1997-10-01,review-by-laurie-hergenhan1234,review,https://www.australianliterarystudies.com.au/articles/review-by-laurie-hergenhan1234
490,An Infinite Onion : Narrative Structure in Peter Carey’s Fiction,Teresa Dovey,11.2,an-infinite-onion-teresa-dovey-11-2.pdf,1983-10-01,an-infinite-onion-narrative-structure-in-peter-careys-fiction,essay,https://www.australianliterarystudies.com.au/articles/an-infinite-onion-narrative-structure-in-peter-careys-fiction
491,A Checklist of Black Australian Literature,Adam Shoemaker,11.2,a-checklist-of-black-adam-shoemaker-11-2.pdf,1983-10-01,a-checklist-of-black-australian-literature,essay,https://www.australianliterarystudies.com.au/articles/a-checklist-of-black-australian-literature
492,Annual Bibliography of Studies in Australian Literature : 1981,Marianne Ehrhardt,10.3,annual-bibliography-of-studies-10-3.pdf,1982-05-01,annual-bibliography-of-studies-in-australian-literature-1981,essay,https://www.australianliterarystudies.com.au/articles/annual-bibliography-of-studies-in-australian-literature-1981
493,Don’o Kim,Don'o Kim,8.2,dono-kim-dono-kim-8-2.pdf,1977-10-01,dono-kim,essay,https://www.australianliterarystudies.com.au/articles/dono-kim
494,Rudi Krausmann,Rudi Krausmann,8.2,rudi-krausmann-rudi-krausmann-8-2.pdf,1977-10-01,rudi-krausmann,essay,https://www.australianliterarystudies.com.au/articles/rudi-krausmann
495,Frank Moorhouse,Frank Moorhouse,8.2,frank-moorhouse-frank-moorhouse-8-2.pdf,1977-10-01,frank-moorhouse,essay,https://www.australianliterarystudies.com.au/articles/frank-moorhouse
496,Mok,"Rob Tillett, Richard Tipping",8.2,mok-richard-tipping-rob-tillett-8-2.pdf,1977-10-01,mok,essay,https://www.australianliterarystudies.com.au/articles/mok
497,Questionnaire on Magazines,"",8.2,questionnaire-on-magazines-8-2.pdf,1977-10-01,questionnaire-on-magazines,essay,https://www.australianliterarystudies.com.au/articles/questionnaire-on-magazines
498,David Foster,David Foster,8.2,david-foster-david-foster-8-2.pdf,1977-10-01,david-foster,essay,https://www.australianliterarystudies.com.au/articles/david-foster
499,Murray Bail,Murray Bail,8.2,murray-bail-murray-bail-8-2.pdf,1977-10-01,murray-bail,essay,https://www.australianliterarystudies.com.au/articles/murray-bail
500,John Forbes,John Forbes,8.2,john-forbes-john-forbes-8-2.pdf,1977-10-01,john-forbes,essay,https://www.australianliterarystudies.com.au/articles/john-forbes
501,John Tranter,"",8.2,john-tranter-john-tranter-8-2.pdf,1977-10-01,john-tranter,essay,https://www.australianliterarystudies.com.au/articles/john-tranter
502,Vicki Viidikas,Vicki Viidikas,8.2,vicki-viidikas-vicki-viidikas-8-2.pdf,1977-10-01,vicki-viidikas,essay,https://www.australianliterarystudies.com.au/articles/vicki-viidikas
503,Eric Beach,Eric Beach,8.2,eric-beach-eric-beach-8-2.pdf,1977-10-01,eric-beach,essay,https://www.australianliterarystudies.com.au/articles/eric-beach
504,Alan Wearne,Alan Wearne,8.2,alan-wearne-alan-wearne-8-2.pdf,1977-10-01,alan-wearne,essay,https://www.australianliterarystudies.com.au/articles/alan-wearne
505,Tim Thorne,Tim Thorne,8.2,tim-thorne-tim-thorne-8-2.pdf,1977-10-01,tim-thorne,essay,https://www.australianliterarystudies.com.au/articles/tim-thorne
506,Jennifer Maiden,Jennifer Maiden,8.2,jennifer-maiden-jennifer-maiden-8-2.pdf,1977-10-01,jennifer-maiden,essay,https://www.australianliterarystudies.com.au/articles/jennifer-maiden
507,"Some Volumes of Selected Poems of the 1970s, II",David Malouf,10.3,review-by-david-malouf-10-3.pdf,1982-05-01,some-volumes-of-selected-poems-of-the-1970s-ii,review,https://www.australianliterarystudies.com.au/articles/some-volumes-of-selected-poems-of-the-1970s-ii
508,"The Dutch-Australian Connection : Willem Siebenhaar, D. H. Lawrence, Max Havelaar and Kangaroo",Paul Eggert,21.1,the-dutch-australian-connection-paul-eggert-21-1.pdf,2003-05-01,the-dutch-australian-connection-willem-siebenhaar-d-h-lawrence-max-havelaar-and-kangaroo,essay,https://www.australianliterarystudies.com.au/articles/the-dutch-australian-connection-willem-siebenhaar-d-h-lawrence-max-havelaar-and-kangaroo
509,Gender and Race Relations in Elizabeth O’Conner’s Northern Homesteads,Cheryl M. Taylor,21.1,gender-and-race-relations-cheryl-m-taylor-21-1.pdf,2003-05-01,gender-and-race-relations-in-elizabeth-oconners-northern-homesteads,essay,https://www.australianliterarystudies.com.au/articles/gender-and-race-relations-in-elizabeth-oconners-northern-homesteads
510,"Review of *Siting the Other: Re-visions of Marginality in Australian and Anglophone Canadian Drama*, edited by Marc Maufort.",Helen Gilbert,20.4,review-by-helen-gilbert-20-4.pdf,2002-10-01,review-by-helen-gilbert,review,https://www.australianliterarystudies.com.au/articles/review-by-helen-gilbert
511,"Review of *Struggle and Storm: The Life and Death of Francis Adams*, by Meg Tasker, and *Jock: A L!fe Story of John Shaw Neilson*, by Cliff Hanna.",Chris Tiffin,20.4,review-by-chris-tiffin-20-4.pdf,2002-10-01,review-by-chris-tiffin1,review,https://www.australianliterarystudies.com.au/articles/review-by-chris-tiffin1
512,"Review of *Faking Literature*, by K.K. Ruthven.",Carrie Dawson,20.4,review-by-carrie-dawson-20-4.pdf,2002-10-01,review-by-carrie-dawson,review,https://www.australianliterarystudies.com.au/articles/review-by-carrie-dawson
513,"Living, Sulking and Fighting in the Seventies",Robert Kenny,8.2,living-sulking-and-fighting-robert-kenny-8-2.pdf,1977-10-01,living-sulking-and-fighting-in-the-seventies,essay,https://www.australianliterarystudies.com.au/articles/living-sulking-and-fighting-in-the-seventies
514,Review by Jennifer Gribble,Jennifer Gribble,14.3,review-by-jennifer-gribble-14-3.pdf,1990-05-01,review-by-jennifer-gribble,review,https://www.australianliterarystudies.com.au/articles/review-by-jennifer-gribble
515,Review by Dianne Kirkby,Dianne Kirkby,10.3,review-by-dianne-kirkby-10-3.pdf,1982-05-01,review-by-dianne-kirkby,review,https://www.australianliterarystudies.com.au/articles/review-by-dianne-kirkby
516,Review by Marianne Ehrhardt,Marianne Ehrhardt,7.4,review-by-marianne-ehrhardt-7-4.pdf,1976-10-01,review-by-marianne-ehrhardt,review,https://www.australianliterarystudies.com.au/articles/review-by-marianne-ehrhardt
517,War Poetry : Myth as De-formation and Re-formation,Andrew Taylor,12.2,war-poetry-myth-andrew-taylor-12-2.pdf,1985-10-01,war-poetry-myth-as-de-formation-and-re-formation,essay,https://www.australianliterarystudies.com.au/articles/war-poetry-myth-as-de-formation-and-re-formation
518,Review by R. F. Brissenden,R. F. Brissenden,7.4,review-by-r-f-brissenden-7-4.pdf,1976-10-01,review-by-r-f-brissenden12,review,https://www.australianliterarystudies.com.au/articles/review-by-r-f-brissenden12
519,On Appropriation : Two Novels of Dark and Barnard Eldershaw,Ian Saunders,20.4,on-appropriation-two-ian-saunders-20-4.pdf,2002-10-01,on-appropriation-two-novels-of-dark-and-barnard-eldershaw,essay,https://www.australianliterarystudies.com.au/articles/on-appropriation-two-novels-of-dark-and-barnard-eldershaw
520,Wilde Identifications : Queering the Sexual and the National in the Work of Eve Langley,Joanne Winning,20.4,wilde-identifications-queering-joanne-winning-20-4.pdf,2002-10-01,wilde-identifications-queering-the-sexual-and-the-national-in-the-work-of-eve-langley,essay,https://www.australianliterarystudies.com.au/articles/wilde-identifications-queering-the-sexual-and-the-national-in-the-work-of-eve-langley
521,My Brilliant Career : The Career of the Career,Susan Sheridan,20.4,my-brilliant-career-susan-sheridan-20-4.pdf,2002-10-01,my-brilliant-career-the-career-of-the-career,essay,https://www.australianliterarystudies.com.au/articles/my-brilliant-career-the-career-of-the-career
522,Obscene and Over Here : National Sex and the Love Me Sailor Obscenity Trial,Nicole Moore,20.4,obscene-and-over-here-nicole-moore-20-4.pdf,2002-10-01,obscene-and-over-here-national-sex-and-the-love-me-sailor-obscenity-trial,essay,https://www.australianliterarystudies.com.au/articles/obscene-and-over-here-national-sex-and-the-love-me-sailor-obscenity-trial
523,‘Those Ungodly Pressmen’ : The Early Years of the Brisbane Johnsonian Club,Leanne Day,21.1,those-ungodly-pressmen-leanne-day-21-1.pdf,2003-05-01,those-ungodly-pressmen-the-early-years-of-the-brisbane-johnsonian-club,essay,https://www.australianliterarystudies.com.au/articles/those-ungodly-pressmen-the-early-years-of-the-brisbane-johnsonian-club
524,‘Does all Melbourne smell like this?’ : The Colonial Metropolis in Marvellous Melbourne,Delyse Ryan,21.1,does-all-melbourne-smell-delyse-ryan-21-1.pdf,2003-05-01,does-all-melbourne-smell-like-this-the-colonial-metropolis-in-marvellous-melbourne,essay,https://www.australianliterarystudies.com.au/articles/does-all-melbourne-smell-like-this-the-colonial-metropolis-in-marvellous-melbourne
525,God’s Sublime Order in Harpur’s ‘The Creek of the Four Graves’,Michael Ackland,11.3,gods-sublime-order-in-michael-ackland-11-3.pdf,1984-05-01,gods-sublime-order-in-harpurs-the-creek-of-the-four-graves,essay,https://www.australianliterarystudies.com.au/articles/gods-sublime-order-in-harpurs-the-creek-of-the-four-graves
526,The Reviewer and Miss Robertson,Hanne K. Bock,11.3,the-reviewer-and-miss-hanne-k-bock-11-3.pdf,1984-05-01,the-reviewer-and-miss-robertson,essay,https://www.australianliterarystudies.com.au/articles/the-reviewer-and-miss-robertson
527,Annual Bibliography of Studies in Australian Literature : 1983,Marianne Ehrhardt,11.3,annual-bibliography-of-studies-11-3.pdf,1984-05-01,annual-bibliography-of-studies-in-australian-literature-1983,essay,https://www.australianliterarystudies.com.au/articles/annual-bibliography-of-studies-in-australian-literature-1983
528,"Charles Reade, Wilkie Collins, and Marcus Clarke",P. D. Edwards,11.3,charles-reade-wilkie-collins-p-d-edwards-11-3.pdf,1984-05-01,charles-reade-wilkie-collins-and-marcus-clarke,essay,https://www.australianliterarystudies.com.au/articles/charles-reade-wilkie-collins-and-marcus-clarke
529,The Traditionalism of James McAuley,Dennis Robinson,11.2,the-traditionalism-of-james-dennis-robinson-11-2.pdf,1983-10-01,the-traditionalism-of-james-mcauley,essay,https://www.australianliterarystudies.com.au/articles/the-traditionalism-of-james-mcauley
530,Annual Bibliography of Studies in Australian Literature : 2005,"Carol Hetherington, Irmtraud Petersson",22.3,annual-bibliography-of-studies-22-3.pdf,2006-05-01,annual-bibliography-of-studies-in-australian-literature-2005,essay,https://www.australianliterarystudies.com.au/articles/annual-bibliography-of-studies-in-australian-literature-2005
531,"Review of *Imagining Australia: Literature and Culture in the New New World*, edited by Judith Ryan and Chris Wallace-Crabbe.",Robert Clarke,22.3,review-by-robert-clarke-22-3.pdf,2006-05-01,review-by-robert-clarke,review,https://www.australianliterarystudies.com.au/articles/review-by-robert-clarke
532,"Review of *Fabulating Beauty: Perspectives on the Fiction of Peter Carey*, edited by Andreas Gaile",Jean-FranÃ§ois Vernay,22.3,review-by-jean-francois-vernay-22-3.pdf,2006-05-01,review-by-jean-franois-vernay,review,https://www.australianliterarystudies.com.au/articles/review-by-jean-franois-vernay
533,"Review of *Re-presenting Otherness: Mapping the Colonial 'Self, ' Mapping the Indigenous 'Other ' in the Literatures of Australia and New Zealand*, edited by Franr;:oise Kral",Lydia Wevers,22.3,review-by-lydia-wevers-22-3.pdf,2006-05-01,review-by-lydia-wevers1,review,https://www.australianliterarystudies.com.au/articles/review-by-lydia-wevers1
